1,1,18760.6
1,2,9748.33
1,4,5221.13
1,8,2985.59
1,16,1490.37
1,32,781.293
1,64,419.882
1,128,236.332
1,256,155.505
1,512,151.724
1,1024,154.243
1,2048,141.864
1,4096,135.765
1,8192,140.427
2,1,9822.23
2,2,5280.27
2,4,3014.08
2,8,1556.06
2,16,794.364
2,32,418.888
2,64,236.019
2,128,147.074
2,256,102.997
2,512,102.182
2,1024,103.043
2,2048,96.383
2,4096,95.599
2,8192,96.721
4,1,5280.99
4,2,3026.39
4,4,1535.26
4,8,792.703
4,16,421.224
4,32,236.061
4,64,145.334
4,128,100.395
4,256,78.57
4,512,78.292
4,1024,77.803
4,2048,75.752
4,4096,74.877
4,8192,74.816
8,1,3024.62
8,2,1541.38
8,4,796.194
8,8,423.651
8,16,237.76
8,32,145.101
8,64,101.267
8,128,76.595
8,256,66.337
8,512,65.811
8,1024,66.178
8,2048,64.928
8,4096,64.112
8,8192,64.303
16,1,1545.25
16,2,799.478
16,4,425.226
16,8,238.028
16,16,144.729
16,32,98.714
16,64,75.491
16,128,63.828
16,256,58.627
16,512,58.626
16,1024,59.015
16,2048,58.221
16,4096,58.033
16,8192,57.938
32,1,798.57
32,2,425.426
32,4,237.811
32,8,144.537
32,16,98.435
32,32,75.096
32,64,63.341
32,128,57.776
32,256,55.07
32,512,55.288
32,1024,55.344
32,2048,55.097
32,4096,54.905
32,8192,55.098
64,1,425.753
64,2,238.125
64,4,144.916
64,8,98.689
64,16,74.994
64,32,63.204
64,64,57.783
64,128,55.139
64,256,54.456
64,512,54.392
64,1024,54.532
64,2048,54.044
64,4096,53.991
64,8192,53.976
128,1,239.596
128,2,145.527
128,4,98.679
128,8,74.607
128,16,63.355
128,32,57.706
128,64,55.05
128,128,53.813
128,256,54.095
128,512,54.223
128,1024,54.174
128,2048,54.002
128,4096,54.163
128,8192,53.953
256,1,147.662
256,2,100.686
256,4,75.762
256,8,63.359
256,16,57.772
256,32,55.658
256,64,53.97
256,128,54.173
256,256,54.548
256,512,54.058
256,1024,54.022
256,2048,53.892
256,4096,53.929
256,8192,53.85
512,1,102.41
512,2,76.818
512,4,64.11
512,8,57.721
512,16,55.162
512,32,54.403
512,64,54.533
512,128,54.491
512,256,54.112
512,512,53.941
512,1024,54.202
512,2048,53.857
512,4096,53.882
512,8192,53.49
1024,1,79.017
1024,2,65.097
1024,4,58.305
1024,8,55.016
1024,16,54.329
1024,32,54.231
1024,64,54.511
1024,128,54.249
1024,256,54.156
1024,512,53.894
1024,1024,54.028
1024,2048,53.847
1024,4096,53.716
1024,8192,-1
2048,1,50.569
2048,2,50.568
2048,4,50.472
2048,8,50.62
2048,16,50.425
2048,32,50.509
2048,64,50.446
2048,128,50.472
2048,256,50.482
2048,512,50.425
2048,1024,50.468
2048,2048,50.453
2048,4096,-1
2048,8192,-1
