1,1,12335.5
1,2,6521.33
1,4,3578.7
1,8,1811.8
1,16,928.817
1,32,493.007
1,64,281.06
1,128,171.425
1,256,118.305
1,512,120.154
1,1024,121.042
1,2048,112.686
1,4096,108.361
1,8192,108.214
2,1,6560.73
2,2,3603.4
2,4,1827.46
2,8,936.064
2,16,502.304
2,32,277.921
2,64,173.525
2,128,116.03
2,256,87.663
2,512,89.921
2,1024,86.842
2,2048,82.098
2,4096,80.082
2,8192,79.777
4,1,3701.98
4,2,1867.73
4,4,965.522
4,8,514.046
4,16,289.178
4,32,173.232
4,64,118.07
4,128,89.374
4,256,74.707
4,512,74.362
4,1024,71.75
4,2048,69.598
4,4096,67.145
4,8192,66.548
8,1,2200.58
8,2,1122.74
8,4,585.689
8,8,324.973
8,16,188.025
8,32,120.502
8,64,88.089
8,128,71.886
8,256,66.106
8,512,65.853
8,1024,64.84
8,2048,63.527
8,4096,62.33
8,8192,62.167
16,1,1171.25
16,2,606.87
16,4,333.99
16,8,193.129
16,16,122.567
16,32,88.134
16,64,70.963
16,128,63.573
16,256,63.514
16,512,63.801
16,1024,63.061
16,2048,62.676
16,4096,62.12
16,8192,62.018
32,1,658.194
32,2,353.969
32,4,202.668
32,8,127.259
32,16,89.846
32,32,71.798
32,64,62.943
32,128,61.343
32,256,72.229
32,512,78.764
32,1024,85.692
32,2048,84.395
32,4096,84.362
32,8192,84.387
64,1,361.558
64,2,204.838
64,4,127.67
64,8,89.902
64,16,71.828
64,32,63.231
64,64,61.849
64,128,68.834
64,256,96.987
64,512,93.555
64,1024,99.424
64,2048,99.648
64,4096,100.038
64,8192,99.836
128,1,208.545
128,2,129.423
128,4,90.392
128,8,71.593
128,16,63.001
128,32,61.937
128,64,70.22
128,128,97.454
128,256,93.509
128,512,99.498
128,1024,99.287
128,2048,99.762
128,4096,99.768
128,8192,99.873
256,1,135.636
256,2,93.734
256,4,72.453
256,8,62.804
256,16,61.1
256,32,71.208
256,64,96.793
256,128,95.216
256,256,99.653
256,512,99.785
256,1024,99.6
256,2048,99.89
256,4096,99.793
256,8192,99.767
512,1,121.334
512,2,85.972
512,4,69.091
512,8,61.132
512,16,68.24
512,32,98.08
512,64,95.228
512,128,100.05
512,256,99.999
512,512,99.784
512,1024,99.975
512,2048,99.92
512,4096,100.001
512,8192,100.041
1024,1,121.468
1024,2,87.468
1024,4,69.833
1024,8,70.728
1024,16,92.798
1024,32,94.592
1024,64,100.532
1024,128,99.389
1024,256,100.53
1024,512,100.512
1024,1024,100.228
1024,2048,100.599
1024,4096,100.572
1024,8192,-1
2048,1,50.468
2048,2,50.537
2048,4,50.418
2048,8,50.429
2048,16,50.394
2048,32,50.455
2048,64,50.45
2048,128,50.552
2048,256,50.461
2048,512,50.522
2048,1024,50.286
2048,2048,50.548
2048,4096,-1
2048,8192,-1
